run_id	commit	resolution	wall_time_ms	model_ms	decode_ms	encode_ms	peak_vram_gb	text_score	layout_score	motion_score	loop_error	status	description
20260424T094714Z-modal-ltx-s6-seed587-1024x576	nogit	1024x576	2104.528	1246.225	0.000	236.698	14.1696	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=6 guidance=1.0
20260424T094717Z-modal-ltx-s8-seed587-1024x576	nogit	1024x576	2290.234	1447.250	0.000	241.348	14.1696	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=8 guidance=1.0
20260424T094719Z-modal-ltx-s2-seed587-1280x736	nogit	1280x736	2284.772	1396.948	0.000	275.811	14.1752	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=2 guidance=1.0
20260424T094721Z-modal-ltx-s3-seed587-1280x736	nogit	1280x736	2525.355	1572.511	0.000	270.702	14.1752	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=3 guidance=1.0
20260424T094724Z-modal-ltx-s4-seed587-1280x736	nogit	1280x736	2639.300	1771.698	0.000	274.837	14.1752	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=4 guidance=1.0
20260424T094726Z-modal-ltx-s6-seed587-1280x736	nogit	1280x736	3001.591	2106.125	0.000	273.497	14.1752	NA	NA	NA	NA	fail	Modal LTX I2V steps=6 guidance=1.0
20260424T094729Z-modal-ltx-s8-seed587-1280x736	nogit	1280x736	3324.588	2469.572	0.000	271.806	14.1752	NA	NA	NA	NA	fail	Modal LTX I2V steps=8 guidance=1.0
20260424T094733Z-modal-ltx-s2-seed588-768x448	nogit	768x448	1306.307	473.167	0.000	219.092	14.0137	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=2 guidance=1.0
20260424T094734Z-modal-ltx-s3-seed588-768x448	nogit	768x448	1329.585	529.954	0.000	220.654	14.0137	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=3 guidance=1.0
20260424T094735Z-modal-ltx-s4-seed588-768x448	nogit	768x448	1432.299	583.507	0.000	205.836	14.0137	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=4 guidance=1.0
20260424T094737Z-modal-ltx-s6-seed588-768x448	nogit	768x448	1459.384	685.283	0.000	206.183	14.0137	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=6 guidance=1.0
20260424T094738Z-modal-ltx-s8-seed588-768x448	nogit	768x448	1605.131	786.808	0.000	206.481	14.0137	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=8 guidance=1.0
20260424T094740Z-modal-ltx-s2-seed588-896x512	nogit	896x512	1580.257	663.240	0.000	217.387	14.1189	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=2 guidance=1.0
20260424T094741Z-modal-ltx-s3-seed588-896x512	nogit	896x512	1591.756	738.370	0.000	219.995	14.1189	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=3 guidance=1.0
